DISTRICT,PROVISIONAL_LICENCES_MALE,PROVISIONAL_LICENCES_FEMALE,PROVISIONAL_LICENCES_TOTAL,FULL_LICENCES_MALE,FULL_LICENCES_FEMALE,FULL_LICENCES_TOTAL
DE24,3853,5240,9093,17954,13812,31766
DE44,0,0,0,0,1,1
DE45,226,270,496,3314,3209,6523
DE51,0,0,0,1,0,1
DE55,2090,2694,4784,18979,16355,35334
DE56,1305,1582,2887,15163,14085,29248
DE65,661,820,1481,9253,8762,18015
DE66,0,0,0,0,1,1
DE72,594,832,1426,8161,7633,15794
DE73,583,785,1368,7814,7371,15185
DE74,429,480,909,4744,4175,8919
DE75,874,1060,1934,6433,5585,12018
DG01,1167,1355,2522,9991,9087,19078
DG02,1325,1731,3056,7746,6877,14623
DG03,170,236,406,1811,1707,3518
DG04,206,307,513,1486,1126,2612
DG05,218,244,462,1946,1805,3751
DG06,265,286,551,1906,1806,3712
DG07,442,514,956,4680,4510,9190
DG08,471,625,1096,4788,4320,9108
DG09,783,938,1721,5595,4906,10501
DG10,161,202,363,1505,1335,2840
DG11,473,596,1069,5061,4577,9638
DG12,662,805,1467,4338,3726,8064
DG13,114,140,254,1079,966,2045
DG14,38,40,78,565,504,1069
DG16,149,207,356,1402,1247,2649
DH01,2116,2370,4486,13714,12262,25976
DH02,1352,2000,3352,10715,9009,19724
DH03,1269,1706,2975,9018,7602,16620
DH04,1668,2098,3766,11919,10123,22042
DH05,1012,1555,2567,6862,5450,12312
DH06,1504,2151,3655,12075,10325,22400
DH07,1830,2641,4471,14578,12577,27155
DH08,1749,2355,4104,13710,11856,25566
DH09,1994,2722,4716,11820,9403,21223
DH10,0,0,0,1,0,1
DH11,0,0,0,1,0,1
DL01,2889,3954,6843,15161,11670,26831
DL02,463,547,1010,7221,7096,14317
DL03,2333,2812,5145,14926,12908,27834
DL04,603,778,1381,3094,2342,5436
DL05,1536,1997,3533,9989,8579,18568
DL06,540,663,1203,5876,5453,11329
DL07,348,472,820,5965,5854,11819
DL08,396,535,931,7825,7396,15221
DL09,1993,1272,3265,5253,3555,8808
DL10,601,798,1399,7084,6737,13821
DL11,111,119,230,2178,2089,4267
DL12,352,466,818,4774,4367,9141
DL13,406,548,954,5476,4788,10264
DL14,1701,2324,4025,12780,10774,23554
DL15,924,1312,2236,7781,6593,14374
DL16,869,1175,2044,7673,6557,14230
DL17,895,1294,2189,6086,4810,10896
DN00,1,0,1,1,0,1
DN01,1206,1008,2214,2617,1089,3706
DN02,1752,2116,3868,7935,5918,13853
DN03,1121,1536,2657,11077,9588,20665
DN04,3102,3743,6845,18412,14634,33046
DN05,1944,2606,4550,13678,11696,25374
DN06,1876,2497,4373,10088,8071,18159
DN07,1112,1562,2674,7659,6270,13929
DN08,1002,1377,2379,6135,4717,10852
DN09,600,718,1318,8600,8203,16803
DN10,327,405,732,5213,4854,10067
DN11,1375,1858,3233,10050,8649,18699
DN12,1580,2110,3690,7337,5614,12951
DN14,2013,2821,4834,17452,14577,32029
DN15,2580,2672,5252,12189,9333,21522
DN16,1672,2022,3694,10525,8853,19378
DN17,1753,2245,3998,13040,11256,24296
DN18,523,733,1256,4611,3843,8454
DN19,170,212,382,2563,2301,4864
DN20,595,728,1323,7532,6672,14204
DN21,1743,2314,4057,13720,11992,25712
DN22,1364,1748,3112,13437,12199,25636
DN24,0,0,0,0,1,1
DN31,848,1004,1852,2451,1570,4021
DN32,2506,2744,5250,7723,5607,13330
DN33,1294,1501,2795,6479,5485,11964
DN34,1137,1455,2592,6416,5152,11568
DN35,1959,2383,4342,11051,9074,20125
DN36,549,691,1240,8170,7543,15713
DN37,887,1097,1984,8051,7232,15283
DN38,74,109,183,1159,1057,2216
DN39,90,106,196,1151,1001,2152
DN40,669,915,1584,4650,3562,8212
DN41,150,189,339,2584,2467,5051
DT00,0,0,0,0,1,1
DT01,851,1036,1887,7427,7029,14456
DT02,667,754,1421,10619,10405,21024
DT03,854,1018,1872,9559,8900,18459
DT04,2145,2341,4486,13032,11304,24336
DT05,711,841,1552,4374,3808,8182
DT06,757,858,1615,8566,8464,17030
DT07,225,228,453,2195,2111,4306
DT08,164,216,380,2435,2369,4804
DT09,685,815,1500,8321,8235,16556
DT10,302,365,667,4856,4630,9486
DT11,1157,1209,2366,12228,11046,23274
DY01,2175,2687,4862,10786,8530,19316
DY02,2530,3219,5749,10804,7986,18790
DY03,1345,1708,3053,12354,10783,23137
DY04,3127,4173,7300,13370,9895,23265
DY05,2233,3022,5255,13904,11247,25151
DY06,796,1052,1848,10949,10013,20962
DY07,178,210,388,3256,3159,6415
DY08,2044,2462,4506,18486,16632,35118
DY09,1382,1706,3088,11096,9794,20890
DY10,1693,2045,3738,13193,11761,24954
DY11,1416,1754,3170,11536,10015,21551
DY12,347,432,779,5073,4694,9767
DY13,806,1016,1822,8876,8086,16962
DY14,208,207,415,3683,3394,7077
E00,0,0,0,1,0,1
E01,11665,9009,20674,18340,9326,27666
E01H,0,1,1,0,0,0
E01L,1,0,1,0,0,0
E01W,1135,1273,2408,4789,3147,7936
E02,5947,5910,11857,12487,7675,20162
E02A,0,1,1,0,0,0
E02O,0,0,0,0,1,1
E03,7266,7396,14662,16269,10577,26846
E04,4842,5449,10291,22919,19233,42152
E05,7605,7776,15381,12583,8572,21155
E06,17625,13768,31393,24497,12926,37423
E07,13045,9224,22269,16505,8648,25153
E08,5822,6293,12115,11112,7981,19093
E09,5933,6591,12524,9903,7277,17180
E10,8209,6936,15145,14920,8725,23645
E11,7147,6802,13949,19070,13922,32992
E12,9828,7187,17015,12687,6636,19323
E13,10497,8217,18714,13910,7434,21344
E14,10540,10959,21499,26758,15846,42604
E15,9880,8784,18664,16087,9067,25154
E16,7799,8221,16020,15770,9597,25367
E17,15910,14750,30660,34968,23423,58391
E18,1451,1564,3015,7277,6281,13558
E19,1,0,1,1,0,1
E20,442,541,983,1722,1074,2796
EC01,16,6,22,21,6,27
EC01A,83,67,150,348,203,551
EC01B,2,0,2,1,0,1
EC01H,0,0,0,0,1,1
EC01M,109,97,206,465,262,727
EC01N,321,347,668,718,385,1103
EC01P,2,2,4,4,0,4
EC01Q,1,0,1,0,0,0
EC01R,576,664,1240,1527,1027,2554
EC01S,0,0,0,1,0,1
EC01U,2,1,3,0,0,0
EC01V,1646,1685,3331,3798,2260,6058
EC01Y,398,409,807,1072,642,1714
EC01Z,0,0,0,1,0,1
EC02,1,1,2,6,2,8
EC02A,129,111,240,568,297,865
EC02H,0,1,1,2,0,2
EC02M,22,9,31,160,31,191
EC02N,4,3,7,31,6,37
EC02P,0,0,0,5,2,7
EC02R,1,1,2,43,16,59
EC02U,0,0,0,1,0,1
EC02V,4,5,9,94,26,120
EC02Y,200,191,391,1450,1009,2459
EC03,0,1,1,1,0,1
EC03A,7,5,12,71,9,80
EC03M,5,4,9,22,7,29
EC03N,33,27,60,143,58,201
EC03P,1,0,1,1,1,2
EC03R,22,15,37,63,29,92
EC03V,4,1,5,54,18,72
EC03Z,1,0,1,0,0,0
EC04,2,1,3,3,1,4
EC04A,48,25,73,142,85,227
EC04B,0,0,0,1,0,1
EC04H,0,0,0,1,0,1
EC04M,17,15,32,128,52,180
EC04N,7,2,9,71,19,90
EC04P,0,0,0,9,4,13
EC04R,6,5,11,43,13,56
EC04S,1,0,1,0,0,0
EC04V,29,27,56,177,99,276
EC04W,0,0,0,1,0,1
EC04Y,20,15,35,119,69,188
EC08Y,0,1,1,0,0,0
EC10,1,0,1,0,0,0
EC11,0,1,1,0,0,0
EC12,0,0,0,1,0,1
EC14,1,2,3,3,0,3
EC15,0,0,0,1,0,1
EC16,0,0,0,1,0,1
EC17,1,0,1,2,2,4
EC19,0,1,1,0,0,0
EC24,0,0,0,0,1,1
EC27,0,0,0,3,0,3
EC28,0,0,0,1,0,1
EC31,0,0,0,0,1,1
EC34,1,0,1,0,0,0
EC47,0,0,0,4,0,4
EC77,1,0,1,0,0,0
EH00,1,5,6,1,3,4
EH01,594,533,1127,1457,1025,2482
EH01U,0,1,1,0,0,0
EH02,113,106,219,427,248,675
EH03,1852,1934,3786,7457,6316,13773
EH03O,0,0,0,1,0,1
EH04,3832,4303,8135,18060,16147,34207
EH05,1587,1905,3492,6474,5418,11892
EH06,3376,3551,6927,12237,9826,22063
EH07,2830,3090,5920,10287,8079,18366
EH08,1876,1952,3828,5848,4666,10514
EH09,1391,1524,2915,6383,5966,12349
EH10,1960,1892,3852,13001,11601,24602
EH11,3799,3851,7650,10301,7674,17975
EH12,1958,2463,4421,14208,13170,27378
EH13,929,1039,1968,4847,4387,9234
EH14,2727,2958,5685,13340,11399,24739
EH15,1390,1593,2983,6957,6327,13284
EH16,2497,2927,5424,9358,7743,17101
EH17,1456,1902,3358,6242,5052,11294
EH18,101,144,245,839,822,1661
EH19,676,904,1580,5290,4928,10218
EH20,348,497,845,2361,1978,4339
EH21,1559,1873,3432,8347,7440,15787
EH22,1828,2357,4185,10992,9651,20643
EH23,480,659,1139,3262,2929,6191
EH24,78,131,209,731,705,1436
EH25,154,211,365,1251,1177,2428
EH26,878,1169,2047,6084,5437,11521
EH27,143,156,299,1091,1018,2109
EH28,150,201,351,1317,1163,2480
EH29,200,280,480,1950,1825,3775
EH30,453,656,1109,3805,3501,7306
EH31,83,87,170,1041,1037,2078
EH32,936,1214,2150,6988,6294,13282
EH33,673,870,1543,4776,4253,9029
EH34,64,82,146,1016,1013,2029
EH35,82,146,228,844,712,1556
EH36,12,8,20,166,166,332
EH37,50,83,133,640,606,1246
EH38,12,14,26,172,181,353
EH39,348,482,830,3797,3683,7480
EH40,69,82,151,837,824,1661
EH41,502,648,1150,4818,4545,9363
EH42,487,623,1110,4206,3943,8149
EH43,46,65,111,284,257,541
EH44,125,161,286,1279,1199,2478
EH45,451,557,1008,4091,3929,8020
EH46,130,141,271,1488,1503,2991
EH47,1456,2051,3507,9244,7718,16962
EH48,1784,2321,4105,13460,11780,25240
EH49,658,846,1504,6082,5723,11805
EH51,713,888,1601,5209,4602,9811
EH52,960,1321,2281,7298,6291,13589
EH53,476,593,1069,4244,3871,8115
EH54,3649,4675,8324,18386,15775,34161
EH55,425,530,955,3084,2614,5698
EN00,0,0,0,0,1,1
EN01,3695,4496,8191,15523,13445,28968
EN02,1702,2204,3906,10977,9915,20892
EN03,6100,7872,13972,17816,13599,31415
EN04,1624,1851,3475,10072,9090,19162
EN05,2627,3233,5860,14394,12968,27362
EN06,1307,1476,2783,11633,11062,22695
EN07,852,948,1800,8675,8269,16944
EN08,2368,2795,5163,13794,11441,25235
EN09,1131,1319,2450,9796,8642,18438
EN10,731,865,1596,6851,6432,13283
EN11,1038,1120,2158,8588,7579,16167
EX00,0,0,0,1,0,1
EX01,1323,1544,2867,7591,6833,14424
EX02,2191,2647,4838,15066,13707,28773
EX03,164,159,323,1906,1967,3873
EX04,3435,3855,7290,16139,13520,29659
EX05,658,767,1425,9515,9267,18782
EX06,385,432,817,6141,5898,12039
EX07,620,730,1350,5125,4746,9871
EX08,1715,2043,3758,13761,12720,26481
EX09,159,233,392,2764,2762,5526
EX10,526,665,1191,6627,6690,13317
EX11,239,276,515,3552,3575,7127
EX12,268,403,671,3698,3523,7221
EX13,396,479,875,5058,4876,9934
EX14,661,832,1493,8486,7922,16408
EX15,762,846,1608,8953,8404,17357
EX16,1305,1551,2856,12307,11395,23702
EX17,728,871,1599,7684,7262,14946
EX18,103,95,198,1365,1317,2682
EX19,65,106,171,1582,1474,3056
EX20,711,908,1619,8434,7830,16264
EX21,119,99,218,1914,1811,3725
EX22,323,391,714,4708,4260,8968
EX23,594,654,1248,6245,5894,12139
EX24,103,131,234,1511,1509,3020
EX31,899,1123,2022,10246,9595,19841
EX32,1343,1563,2906,8300,7362,15662
EX33,328,418,746,4038,3756,7794
EX34,947,1094,2041,6340,5446,11786
EX35,79,71,150,693,634,1327
EX36,312,364,676,3693,3395,7088
EX37,78,88,166,1660,1549,3209
EX38,312,361,673,3195,2959,6154
EX39,1539,1901,3440,14504,13440,27944
FK01,1469,1895,3364,9773,8338,18111
FK01O,0,0,0,0,1,1
FK02,2226,2784,5010,17449,15577,33026
FK03,991,1268,2259,5392,4432,9824
FK04,564,799,1363,4776,4299,9075
FK05,761,1039,1800,7307,6871,14178
FK06,658,866,1524,4968,4288,9256
FK07,1544,2136,3680,10310,9485,19795
FK08,1105,1213,2318,6195,5512,11707
FK09,597,778,1375,4448,4089,8537
FK10,1994,2595,4589,12539,11102,23641
FK11,104,125,229,1020,1028,2048
FK12,237,302,539,1761,1591,3352
FK13,297,357,654,2179,1867,4046
FK14,187,196,383,1840,1806,3646
FK15,433,499,932,4123,4028,8151
FK16,79,97,176,930,890,1820
FK17,153,176,329,1380,1286,2666
FK18,4,8,12,102,82,184
FK19,24,30,54,260,210,470
FK20,29,45,74,165,119,284
FK21,43,53,96,402,341,743
FY00,0,0,0,2,2,4
FY01,3649,3705,7354,9298,5920,15218
FY02,1432,1601,3033,8151,6975,15126
FY03,2263,2747,5010,10169,8670,18839
FY04,2688,3348,6036,14761,12394,27155
FY05,1695,1936,3631,16589,15145,31734
FY06,793,923,1716,11357,10758,22115
FY07,1907,2136,4043,8014,6395,14409
FY08,1821,2041,3862,17000,15845,32845
G01,623,412,1035,1528,819,2347
G02,331,225,556,598,280,878
G02O,0,1,1,0,0,0
G03,1961,1676,3637,4980,3306,8286
G04,1365,1020,2385,2650,1466,4116
G05,1472,1243,2715,3188,2014,5202
G06,0,3,3,4,0,4
G07,1,0,1,4,2,6
G08,0,0,0,2,0,2
G09,0,0,0,3,0,3
G10,0,2,2,0,0,0
G11,1631,1695,3326,6069,5390,11459
G12,1755,1667,3422,8257,7420,15677
G13,2332,2679,5011,9837,8452,18289
G14,1575,1791,3366,5129,4262,9391
G15,1787,2064,3851,4021,3248,7269
G16,2,1,3,0,0,0
G17,0,0,0,0,1,1
G18,0,1,1,0,1,1
G19,1,0,1,0,0,0
G20,3191,3385,6576,7863,6029,13892
G21,3330,3654,6984,6607,4439,11046
G22,1961,2281,4242,4079,2881,6960
G23,580,736,1316,2116,1786,3902
G24,1,0,1,0,0,0
G25,0,2,2,1,0,1
G26,0,0,0,1,0,1
G29,0,0,0,1,0,1
G30,3,0,3,1,0,1
G31,2863,3021,5884,5924,4137,10061
G32,2654,3338,5992,10836,8476,19312
G33,3557,4244,7801,12678,10558,23236
G34,1095,1305,2400,1748,1232,2980
G35,1,1,2,0,0,0
G36,0,2,2,2,0,2
G38,0,0,0,1,0,1
G39,0,0,0,0,1,1
G40,1319,1553,2872,3114,2029,5143
G41,2758,2878,5636,10760,8903,19663
G42,3849,3266,7115,8276,5625,13901
G43,1273,1398,2671,5467,4696,10163
G44,1786,2215,4001,9311,8372,17683
G45,1746,2000,3746,3359,2295,5654
G46,1734,1941,3675,8565,7938,16503
G47,1,1,2,2,0,2
G48,2,0,2,2,1,3
G49,0,0,0,3,0,3
G50,2,0,2,1,1,2
G51,3012,2944,5956,5873,3841,9714
G52,2278,2845,5123,8029,6687,14716
G53,2892,3452,6344,9765,8361,18126
G54,1,0,1,2,0,2
G55,0,2,2,1,1,2
G56,1,1,2,1,0,1
G57,0,1,1,0,0,0
G58,0,0,0,1,0,1
G60,266,296,562,1953,1857,3810
G61,1055,1130,2185,11212,11136,22348
G62,595,640,1235,5037,5023,10060
G63,306,359,665,3854,3992,7846
G64,1138,1461,2599,9727,9295,19022
G65,795,995,1790,4621,3909,8530
G66,1923,2383,4306,13977,12926,26903
G67,2687,3299,5986,10441,8354,18795
G68,789,915,1704,7224,6871,14095
G69,1775,2253,4028,12426,11213,23639
G70,0,0,0,1,1,2
G71,1463,1871,3334,10776,10057,20833
G72,2903,3590,6493,16938,14940,31878
G73,2244,2622,4866,9851,8575,18426
G74,1907,2332,4239,13334,11726,25060
G75,2365,3074,5439,13607,11997,25604
G76,945,1098,2043,8136,8130,16266
G77,842,1023,1865,9925,10170,20095
G78,1429,1754,3183,7878,7067,14945
G80,1,0,1,0,0,0
G81,2989,3683,6672,11210,9358,20568
G82,1584,1996,3580,8733,7738,16471
G83,1491,1968,3459,8106,7092,15198
G84,1176,1414,2590,7850,7183,15033
GL00,0,0,0,0,1,1
GL01,3207,3367,6574,11188,7969,19157
GL01D,0,0,0,0,1,1
GL02,1984,2479,4463,22208,20744,42952
GL03,1257,1674,2931,12630,11636,24266
GL04,2415,3005,5420,17140,15346,32486
GL05,1500,1608,3108,11556,10882,22438
GL06,831,936,1767,10073,9955,20028
GL07,1657,1923,3580,17559,16729,34288
GL08,262,354,616,3550,3526,7076
GL09,51,63,114,1106,1078,2184
GL10,587,592,1179,5644,5179,10823
GL11,622,789,1411,7295,6871,14166
GL12,496,482,978,6222,5851,12073
GL13,150,176,326,2543,2276,4819
GL14,698,853,1551,5823,5065,10888
GL15,729,903,1632,8446,7764,16210
GL16,465,625,1090,5376,4988,10364
GL17,377,498,875,4706,4336,9042
GL18,268,357,625,3386,3069,6455
GL19,229,208,437,3720,3604,7324
GL20,1074,1193,2267,11282,10407,21689
GL50,1278,1530,2808,7648,6404,14052
GL51,2768,3417,6185,18417,15886,34303
GL52,2074,2291,4365,17360,16517,33877
GL53,805,832,1637,7821,7681,15502
GL54,777,862,1639,9974,9699,19673
GL55,179,178,357,2333,2377,4710
GL56,324,385,709,3808,3815,7623
GU00,0,0,0,0,1,1
GU01,1987,2143,4130,11615,10045,21660
GU02,2231,2325,4556,10506,8743,19249
GU03,393,408,801,4731,4634,9365
GU04,570,620,1190,6633,6568,13201
GU05,352,423,775,4411,4553,8964
GU06,566,552,1118,6022,5993,12015
GU07,1107,1207,2314,8722,8479,17201
GU08,600,637,1237,7134,7128,14262
GU09,1158,1425,2583,11470,11079,22549
GU10,664,747,1411,9809,9692,19501
GU11,1826,2070,3896,8806,6863,15669
GU12,1545,1953,3498,12343,10969,23312
GU13,736,14,750,370,30,400
GU14,2989,3474,6463,21540,18875,40415
GU15,1854,2021,3875,14280,12793,27073
GU16,1045,973,2018,9877,9028,18905
GU17,713,493,1206,5291,4177,9468
GU18,145,179,324,3000,2983,5983
GU19,226,222,448,2459,2362,4821
GU20,122,137,259,1960,1929,3889
GU21,2945,3263,6208,19416,17085,36501
GU22,1867,2191,4058,14469,12851,27320
GU23,231,240,471,2895,2823,5718
GU24,828,760,1588,7206,6944,14150
GU25,384,404,788,2824,2847,5671
GU26,249,246,495,3152,3063,6215
GU27,708,850,1558,6968,6771,13739
GU28,257,256,513,2707,2649,5356
GU29,306,422,728,3846,4006,7852
GU30,374,421,795,4009,3979,7988
GU31,384,437,821,4605,4518,9123
GU32,517,612,1129,4621,4447,9068
GU33,273,338,611,3362,3292,6654
GU34,1123,1346,2469,12940,12395,25335
GU35,1000,1170,2170,9712,8734,18446
GU46,381,432,813,6176,5907,12083
GU47,644,748,1392,7773,7319,15092
GU51,785,755,1540,9862,9330,19192
GU52,447,508,955,7209,7102,14311
HA00,12765,10472,23237,18737,11444,30181
HA01,4867,5042,9909,15256,11104,26360
HA02,6122,6731,12853,21988,16743,38731
HA03,8802,8533,17335,29897,21787,51684
HA04,2782,3236,6018,19874,17842,37716
HA05,2616,2951,5567,18240,16862,35102
HA06,1243,1562,2805,9556,8913,18469
HA07,3136,3385,6521,15666,13038,28704
HA08,8951,8624,17575,27764,20332,48096
HA09,10195,8356,18551,19666,12570,32236
HD01,2600,2315,4915,6108,3706,9814
HD02,2047,2693,4740,9275,7635,16910
HD03,1443,1949,3392,10686,9719,20405
HD04,1763,2308,4071,9583,7920,17503
HD05,1748,2335,4083,9926,8392,18318
HD06,1331,1532,2863,9381,8470,17851
HD07,984,1286,2270,8374,7586,15960
HD08,966,1211,2177,12789,12199,24988
HD09,1289,1560,2849,13545,12643,26188
HG01,1686,1964,3650,12421,11300,23721
HG02,1440,1616,3056,11960,11519,23479
HG03,895,1007,1902,10905,10614,21519
HG04,924,1188,2112,9638,8981,18619
HG05,641,731,1372,7258,6871,14129
HP01,1292,1473,2765,9717,8862,18579
HP02,2396,2988,5384,14885,12683,27568
HP02U,0,0,0,1,0,1
HP03,1578,1875,3453,12877,11555,24432
HP04,889,888,1777,9645,9522,19167
HP05,1287,1510,2797,10063,9177,19240
HP06,628,644,1272,5796,5722,11518
HP07,413,485,898,4359,4189,8548
HP08,227,248,475,2964,3040,6004
HP09,628,700,1328,7196,7235,14431
HP10,588,673,1261,7987,7925,15912
HP11,1057,1157,2214,5781,4627,10408
HP12,1520,1842,3362,8274,6444,14718
HP13,2546,3128,5674,16152,13603,29755
HP14,577,615,1192,7358,7024,14382
HP15,447,535,982,7159,7016,14175
HP16,341,380,721,4953,4953,9906
HP17,323,342,665,4313,4201,8514
HP18,596,710,1306,7881,7566,15447
HP19,1378,1812,3190,9063,7711,16774
HP20,997,1174,2171,5369,4380,9749
HP21,1851,2335,4186,12376,10609,22985
HP22,822,848,1670,11210,11094,22304
HP23,634,727,1361,7075,6839,13914
HP25,0,0,0,0,1,1
HP27,386,403,789,5173,5034,10207
HR01,1288,1478,2766,12482,11547,24029
HR02,1822,2310,4132,13890,12277,26167
HR03,173,228,401,3166,3082,6248
HR04,1286,1484,2770,11035,10093,21128
HR05,153,163,316,1876,1681,3557
HR06,800,966,1766,7933,7208,15141
HR07,218,247,465,2940,2612,5552
HR08,470,573,1043,5563,5284,10847
HR09,685,821,1506,8528,7916,16444
HS01,311,338,649,1502,1333,2835
HS02,526,670,1196,5205,4559,9764
HS03,55,68,123,490,372,862
HS04,16,17,33,101,77,178
HS05,9,12,21,97,84,181
HS06,55,98,153,628,552,1180
HS07,66,99,165,470,391,861
HS08,83,108,191,693,586,1279
HS09,75,54,129,434,398,832
HU01,396,279,675,1004,463,1467
HU02,456,426,882,1058,438,1496
HU03,3342,3276,6618,7318,4093,11411
HU04,1485,1856,3341,7669,6089,13758
HU05,3795,3936,7731,14421,11070,25491
HU06,2835,3435,6270,8801,6276,15077
HU07,3167,3863,7030,13874,11180,25054
HU08,2261,2826,5087,10926,8566,19492
HU09,3366,4171,7537,10820,7544,18364
HU10,605,702,1307,7520,7173,14693
HU11,345,423,768,5148,4611,9759
HU12,907,1147,2054,9934,8872,18806
HU13,661,860,1521,5551,4909,10460
HU14,221,232,453,3474,3427,6901
HU15,640,815,1455,9473,9010,18483
HU16,591,703,1294,6041,5598,11639
HU17,1818,1980,3798,16798,15504,32302
HU18,386,480,866,3294,2878,6172
HU19,446,531,977,2465,1692,4157
HU20,24,25,49,371,368,739
HU23,1,0,1,0,0,0
HU30,1,0,1,0,0,0
HU41,1,0,1,0,0,0
HU44,0,0,0,0,1,1
HX00,0,0,0,0,1,1
HX01,2027,2544,4571,6823,4307,11130
HX02,2137,2818,4955,12621,10708,23329
HX03,2319,3021,5340,16137,14056,30193
HX04,423,604,1027,4566,4314,8880
HX05,551,732,1283,3437,2879,6316
HX06,943,1182,2125,6804,5949,12753
HX07,713,828,1541,4636,4602,9238
IG01,11488,9834,21322,22227,13204,35431
IG02,3244,3299,6543,10325,7432,17757
IG03,5327,4948,10275,13395,8630,22025
IG04,953,992,1945,3755,2817,6572
IG05,1340,1558,2898,6479,5352,11831
IG06,2399,2776,5175,10613,8359,18972
IG07,1339,1643,2982,8258,7349,15607
IG08,2395,2806,5201,14011,12381,26392
IG09,557,615,1172,5101,4873,9974
IG10,1572,1901,3473,12004,11384,23388
IG11,9131,8939,18070,18089,10929,29018
IP01,2681,2844,5525,13411,10419,23830
IP02,2030,2425,4455,10392,8031,18423
IP03,1807,2279,4086,11894,9520,21414
IP04,2004,2187,4191,13359,11266,24625
IP05,539,618,1157,7554,7212,14766
IP06,422,499,921,7119,6720,13839
IP07,465,628,1093,6500,5989,12489
IP08,290,365,655,4555,4156,8711
IP09,300,336,636,4656,4453,9109
IP10,73,85,158,1481,1440,2921
IP11,1146,1495,2641,11976,10272,22248
IP12,883,916,1799,9775,9370,19145
IP13,559,616,1175,7753,7616,15369
IP14,1234,1524,2758,16081,14594,30675
IP15,80,93,173,887,934,1821
IP16,323,355,678,2504,2227,4731
IP17,401,511,912,4805,4693,9498
IP18,119,145,264,1432,1454,2886
IP19,287,334,621,4083,3806,7889
IP20,249,271,520,3284,3072,6356
IP21,249,313,562,4703,4434,9137
IP22,811,841,1652,8855,8195,17050
IP23,201,269,470,3045,2817,5862
IP24,1789,2239,4028,9482,7585,17067
IP25,663,795,1458,7375,6613,13988
IP26,297,365,662,3433,3252,6685
IP27,913,1095,2008,6206,5526,11732
IP28,1053,1302,2355,9249,8932,18181
IP29,217,267,484,3793,3659,7452
IP30,369,464,833,5811,5532,11343
IP31,523,709,1232,8418,7976,16394
IP32,776,966,1742,5764,5299,11063
IP33,1111,1326,2437,8356,7440,15796
IV01,186,163,349,1031,955,1986
IV02,2343,2830,5173,18134,16584,34718
IV03,1471,1674,3145,6124,4957,11081
IV03O,0,0,0,0,1,1
IV04,166,197,363,1853,1682,3535
IV05,49,55,104,541,529,1070
IV06,163,213,376,1825,1731,3556
IV07,182,240,422,2396,2273,4669
IV08,34,29,63,367,386,753
IV09,56,54,110,471,468,939
IV10,103,125,228,1100,1057,2157
IV11,48,54,102,325,315,640
IV12,606,783,1389,4721,4337,9058
IV13,11,19,30,280,232,512
IV14,60,95,155,856,778,1634
IV15,336,368,704,1973,1750,3723
IV16,61,75,136,709,659,1368
IV17,379,460,839,2144,1868,4012
IV18,309,373,682,2072,1739,3811
IV19,229,271,500,1716,1539,3255
IV20,133,180,313,1163,1055,2218
